Transport,Vehicle Type,Vehicle Monthly Distance Km,Energy efficiency,Waste Bag Weekly Count,Recycling,Monthly Grocery Bill,Frequency of Traveling by Air,CarbonEmission
private,petrol,9061,Sometimes,3,"['Glass', 'Metal']",252,rarely,6076
walk/bicycle,No Vehicle,36,No,2,"['Paper', 'Plastic', 'Glass', 'Metal']",122,rarely,996
private,hybrid,9168,No,6,"['Paper', 'Plastic']",201,frequently,3420
public,No Vehicle,1034,Sometimes,3,"['Paper', 'Plastic', 'Glass']",237,never,1354
public,No Vehicle,213,Yes,3,['Plastic'],271,rarely,2064
private,diesel,4603,No,6,"['Paper', 'Plastic']",281,rarely,3181
public,No Vehicle,1740,Sometimes,1,"['Paper', 'Plastic']",187,never,1077
private,petrol,1721,No,6,[],262,never,2682
public,No Vehicle,526,Yes,2,"['Paper', 'Plastic', 'Glass', 'Metal']",179,never,1055
private,petrol,922,Sometimes,4,"['Paper', 'Glass']",160,frequently,2137
private,diesel,9933,Yes,6,"['Paper', 'Glass']",58,very frequently,4206
public,No Vehicle,1540,Yes,6,"['Plastic', 'Glass']",188,never,1972
public,No Vehicle,180,Sometimes,1,"['Glass', 'Metal']",172,frequently,1266
public,No Vehicle,1507,Sometimes,7,['Glass'],207,rarely,1594
walk/bicycle,No Vehicle,81,No,1,['Glass'],234,very frequently,2351
private,petrol,959,No,5,"['Paper', 'Glass', 'Metal']",188,rarely,2474
public,No Vehicle,746,No,3,['Paper'],249,frequently,2322
public,No Vehicle,817,Yes,2,"['Plastic', 'Glass', 'Metal']",259,never,1719
private,diesel,6119,Sometimes,6,"['Paper', 'Plastic', 'Glass', 'Metal']",256,rarely,2537
public,No Vehicle,1849,Yes,3,"['Paper', 'Glass']",297,very frequently,2713
walk/bicycle,No Vehicle,2,Yes,6,['Metal'],266,never,1357
private,petrol,2142,Yes,6,"['Paper', 'Glass']",94,very frequently,3506
private,lpg,4717,Yes,6,['Glass'],220,very frequently,3947
walk/bicycle,No Vehicle,19,Yes,5,['Glass'],229,frequently,1960
walk/bicycle,No Vehicle,49,Sometimes,6,['Metal'],116,very frequently,1917
walk/bicycle,No Vehicle,97,Sometimes,2,"['Paper', 'Plastic', 'Glass']",58,frequently,1098
walk/bicycle,No Vehicle,6,Yes,4,"['Paper', 'Plastic']",229,rarely,1594
private,hybrid,9677,Yes,3,"['Glass', 'Metal']",169,never,3212
public,No Vehicle,158,Yes,3,[],114,frequently,2219
walk/bicycle,No Vehicle,69,Sometimes,5,['Metal'],225,frequently,2915
walk/bicycle,No Vehicle,48,Yes,4,['Glass'],203,frequently,3397
walk/bicycle,No Vehicle,41,Sometimes,6,['Plastic'],138,never,2333
private,hybrid,9861,Sometimes,2,"['Plastic', 'Glass']",188,never,2332
walk/bicycle,No Vehicle,6,Yes,2,"['Paper', 'Plastic', 'Glass']",126,frequently,2573
walk/bicycle,No Vehicle,39,Sometimes,4,"['Plastic', 'Glass', 'Metal']",242,frequently,1991
public,No Vehicle,568,No,7,"['Glass', 'Metal']",141,rarely,1637
walk/bicycle,No Vehicle,45,Sometimes,7,['Glass'],51,very frequently,2660
private,hybrid,8701,Sometimes,4,"['Plastic', 'Glass']",274,rarely,3666
public,No Vehicle,1943,No,7,"['Paper', 'Plastic']",107,rarely,2047
walk/bicycle,No Vehicle,46,Yes,4,"['Plastic', 'Glass']",171,rarely,1466
private,petrol,9658,Sometimes,2,"['Paper', 'Plastic']",125,frequently,6786
public,No Vehicle,154,Yes,3,['Paper'],120,very frequently,2546
public,No Vehicle,500,Yes,3,"['Glass', 'Metal']",236,rarely,1725
walk/bicycle,No Vehicle,41,Sometimes,6,"['Plastic', 'Metal']",213,never,1475
private,lpg,9402,Yes,7,"['Paper', 'Plastic']",105,rarely,3944
walk/bicycle,No Vehicle,90,Yes,4,['Paper'],116,rarely,1596
walk/bicycle,No Vehicle,95,Yes,7,[],215,frequently,3285
walk/bicycle,No Vehicle,15,No,7,"['Paper', 'Plastic', 'Metal']",101,very frequently,2264
private,lpg,7026,Yes,6,"['Paper', 'Metal']",250,frequently,5017
public,No Vehicle,555,Yes,5,['Plastic'],149,frequently,2755
private,hybrid,107,Yes,1,"['Paper', 'Glass', 'Metal']",157,frequently,1712
private,lpg,8187,Sometimes,4,[],273,very frequently,5030
walk/bicycle,No Vehicle,53,No,3,"['Plastic', 'Glass', 'Metal']",184,never,1598
walk/bicycle,No Vehicle,42,No,4,"['Paper', 'Plastic']",124,never,1355
private,petrol,4747,Sometimes,2,"['Paper', 'Plastic', 'Metal']",140,rarely,2865
walk/bicycle,No Vehicle,1,No,4,['Glass'],229,never,1685
walk/bicycle,No Vehicle,5,No,3,['Metal'],197,frequently,1838
walk/bicycle,No Vehicle,96,Sometimes,1,"['Plastic', 'Glass', 'Metal']",145,never,642
public,No Vehicle,571,No,3,"['Plastic', 'Glass']",197,never,1230
private,lpg,9771,No,6,['Paper'],239,very frequently,5639
walk/bicycle,No Vehicle,54,Yes,7,[],112,never,1814
walk/bicycle,No Vehicle,75,Yes,5,"['Paper', 'Plastic', 'Metal']",192,never,1303
private,diesel,7155,Yes,1,"['Paper', 'Plastic', 'Glass', 'Metal']",83,frequently,3021
private,electric,9181,Yes,7,[],108,rarely,1539
private,diesel,2959,Yes,1,['Glass'],238,never,2769
walk/bicycle,No Vehicle,41,Yes,4,"['Plastic', 'Glass']",161,rarely,1476
public,No Vehicle,1164,Sometimes,7,"['Paper', 'Metal']",276,never,1712
public,No Vehicle,1970,Yes,7,"['Plastic', 'Glass', 'Metal']",87,rarely,1536
private,petrol,9425,No,7,['Paper'],119,very frequently,6719
walk/bicycle,No Vehicle,13,No,2,['Glass'],297,frequently,2138
private,hybrid,500,No,3,"['Paper', 'Glass', 'Metal']",108,frequently,1808
private,electric,3302,Sometimes,6,"['Paper', 'Glass']",264,very frequently,3274
public,No Vehicle,1339,Yes,5,"['Plastic', 'Metal']",220,rarely,1526
public,No Vehicle,286,Yes,3,"['Paper', 'Metal']",258,very frequently,2319
walk/bicycle,No Vehicle,22,No,2,['Glass'],55,rarely,2038
walk/bicycle,No Vehicle,6,Yes,1,['Glass'],264,never,1612
private,hybrid,645,Sometimes,4,"['Paper', 'Glass']",145,very frequently,2124
walk/bicycle,No Vehicle,59,Yes,7,"['Plastic', 'Glass']",271,never,1352
private,petrol,9187,Yes,6,[],123,rarely,4973
private,lpg,4022,Sometimes,6,['Plastic'],199,never,2552
walk/bicycle,No Vehicle,31,No,7,[],53,rarely,1728
public,No Vehicle,1098,Sometimes,6,[],73,very frequently,2780
walk/bicycle,No Vehicle,31,Yes,5,['Glass'],166,never,947
public,No Vehicle,1910,Sometimes,7,"['Paper', 'Plastic', 'Glass', 'Metal']",276,very frequently,2927
walk/bicycle,No Vehicle,94,Yes,7,['Plastic'],64,very frequently,2628
walk/bicycle,No Vehicle,46,No,6,['Metal'],246,very frequently,3017
private,lpg,5934,Sometimes,3,"['Plastic', 'Glass', 'Metal']",117,rarely,2898
walk/bicycle,No Vehicle,3,No,6,['Metal'],137,very frequently,2462
public,No Vehicle,1930,Sometimes,5,['Metal'],190,rarely,1875
public,No Vehicle,1159,Yes,4,"['Paper', 'Plastic', 'Glass', 'Metal']",184,rarely,1151
walk/bicycle,No Vehicle,25,Yes,6,[],163,rarely,2305
public,No Vehicle,459,No,5,"['Plastic', 'Glass', 'Metal']",166,rarely,1250
public,No Vehicle,466,Sometimes,3,['Glass'],229,very frequently,2790
walk/bicycle,No Vehicle,28,Yes,4,"['Paper', 'Plastic', 'Glass']",278,very frequently,2792
private,petrol,1060,Sometimes,3,"['Plastic', 'Glass', 'Metal']",243,rarely,1852
private,diesel,9999,No,1,"['Paper', 'Glass', 'Metal']",202,rarely,3396
private,hybrid,8636,Yes,1,"['Plastic', 'Metal']",50,never,1910
private,hybrid,9695,Sometimes,4,['Paper'],221,rarely,3886
public,No Vehicle,1037,Sometimes,7,"['Plastic', 'Glass']",295,frequently,2342
public,No Vehicle,1215,Sometimes,7,"['Plastic', 'Glass']",135,frequently,1660
public,No Vehicle,590,No,7,"['Paper', 'Metal']",233,never,1552
walk/bicycle,No Vehicle,87,No,2,"['Paper', 'Plastic', 'Glass']",173,never,879
public,No Vehicle,972,Yes,6,"['Paper', 'Glass']",159,frequently,2497
private,electric,9208,Yes,7,"['Paper', 'Plastic']",74,very frequently,3294
private,electric,2237,No,3,"['Plastic', 'Metal']",258,never,1341
private,lpg,4550,Sometimes,2,[],214,very frequently,4028
private,petrol,102,Sometimes,2,"['Paper', 'Plastic', 'Metal']",151,frequently,1995
private,electric,4866,No,1,"['Plastic', 'Glass', 'Metal']",112,rarely,1286
public,No Vehicle,883,No,5,"['Plastic', 'Metal']",256,never,1367
walk/bicycle,No Vehicle,85,No,7,['Metal'],133,rarely,1345
private,petrol,9461,Yes,2,"['Paper', 'Plastic', 'Glass', 'Metal']",166,very frequently,6655
private,diesel,614,Yes,2,['Plastic'],295,frequently,3309
public,No Vehicle,813,Sometimes,2,"['Glass', 'Metal']",110,never,631
walk/bicycle,No Vehicle,44,Sometimes,6,"['Plastic', 'Glass']",81,rarely,2290
public,No Vehicle,45,Yes,7,['Paper'],55,frequently,3034
public,No Vehicle,663,Yes,6,"['Paper', 'Metal']",295,frequently,3163
walk/bicycle,No Vehicle,73,Yes,3,"['Paper', 'Plastic', 'Glass', 'Metal']",66,very frequently,1901
private,hybrid,9760,Sometimes,2,"['Paper', 'Plastic', 'Glass', 'Metal']",89,frequently,3074
public,No Vehicle,1422,No,5,"['Paper', 'Plastic', 'Glass', 'Metal']",137,very frequently,3184
private,electric,868,Sometimes,3,['Paper'],268,frequently,2358
public,No Vehicle,1667,No,4,['Plastic'],151,frequently,2821
private,petrol,4965,Sometimes,3,[],65,rarely,2694
private,petrol,4888,No,6,"['Paper', 'Plastic', 'Metal']",148,frequently,3564
private,diesel,8012,Yes,7,"['Glass', 'Metal']",257,rarely,3983
walk/bicycle,No Vehicle,25,Yes,1,"['Plastic', 'Glass']",196,rarely,812
walk/bicycle,No Vehicle,4,Yes,2,"['Paper', 'Plastic', 'Glass', 'Metal']",120,rarely,817
public,No Vehicle,1712,No,1,"['Paper', 'Glass', 'Metal']",245,very frequently,2118
walk/bicycle,No Vehicle,14,Yes,7,['Metal'],286,frequently,2382
private,petrol,4622,Yes,2,['Metal'],158,very frequently,5271
public,No Vehicle,283,No,2,['Metal'],298,very frequently,2523
private,hybrid,2464,Yes,3,['Glass'],149,very frequently,2994
private,diesel,3765,Sometimes,5,"['Paper', 'Plastic', 'Metal']",222,frequently,2801
public,No Vehicle,1561,No,4,['Glass'],138,rarely,2155
walk/bicycle,No Vehicle,63,No,4,"['Plastic', 'Metal']",57,rarely,1700
public,No Vehicle,179,No,2,[],90,very frequently,2424
private,petrol,7354,Sometimes,7,"['Plastic', 'Glass', 'Metal']",91,very frequently,5672
public,No Vehicle,263,Yes,3,"['Paper', 'Glass', 'Metal']",58,very frequently,2775
public,No Vehicle,1379,Sometimes,4,"['Paper', 'Glass']",101,frequently,1625
private,lpg,2795,No,1,"['Paper', 'Glass', 'Metal']",121,rarely,2165
walk/bicycle,No Vehicle,25,Sometimes,3,['Plastic'],213,very frequently,2795
public,No Vehicle,793,No,4,"['Paper', 'Glass', 'Metal']",116,never,838
walk/bicycle,No Vehicle,58,Sometimes,2,"['Paper', 'Plastic']",186,frequently,2526
public,No Vehicle,419,Sometimes,5,['Plastic'],121,very frequently,2727
private,petrol,7164,Sometimes,3,['Plastic'],197,very frequently,5733
private,petrol,3566,Sometimes,2,[],80,rarely,3229
walk/bicycle,No Vehicle,95,No,2,"['Plastic', 'Glass']",84,frequently,1625
private,lpg,5047,No,3,['Plastic'],203,rarely,3011
public,No Vehicle,419,Yes,7,['Metal'],193,rarely,1045
walk/bicycle,No Vehicle,87,Sometimes,7,"['Paper', 'Metal']",199,frequently,2268
public,No Vehicle,862,No,3,"['Glass', 'Metal']",55,very frequently,1971
public,No Vehicle,1311,Yes,3,"['Paper', 'Metal']",177,rarely,1384
walk/bicycle,No Vehicle,51,Yes,6,"['Glass', 'Metal']",52,very frequently,1736
private,diesel,1936,No,1,['Glass'],298,never,2150
private,lpg,7014,Yes,7,"['Paper', 'Plastic', 'Metal']",217,very frequently,3950
public,No Vehicle,645,No,4,['Paper'],274,frequently,2429
public,No Vehicle,1600,Sometimes,1,"['Paper', 'Plastic', 'Metal']",79,very frequently,2482
public,No Vehicle,808,Sometimes,5,"['Paper', 'Plastic', 'Metal']",257,very frequently,3275
public,No Vehicle,488,Sometimes,7,"['Paper', 'Glass', 'Metal']",244,frequently,1656
walk/bicycle,No Vehicle,48,Yes,6,"['Paper', 'Metal']",243,frequently,2488
private,electric,7203,No,5,"['Paper', 'Glass', 'Metal']",288,rarely,1218
private,diesel,4048,Yes,1,"['Paper', 'Plastic', 'Glass', 'Metal']",98,rarely,1775
walk/bicycle,No Vehicle,36,No,2,"['Paper', 'Plastic', 'Glass']",197,rarely,1389
private,hybrid,2672,No,4,['Glass'],76,never,1773
private,petrol,7907,Yes,6,"['Paper', 'Plastic', 'Glass']",79,rarely,5629
public,No Vehicle,595,No,2,['Metal'],129,very frequently,2309
private,diesel,6423,Yes,4,['Paper'],164,very frequently,3814
public,No Vehicle,863,Sometimes,1,['Metal'],281,very frequently,3183
walk/bicycle,No Vehicle,29,Yes,2,"['Plastic', 'Metal']",258,rarely,974
private,petrol,2027,Sometimes,5,"['Paper', 'Plastic']",226,rarely,2117
private,electric,1372,Yes,2,"['Plastic', 'Glass']",139,rarely,1131
public,No Vehicle,1888,No,3,['Metal'],233,rarely,1174
walk/bicycle,No Vehicle,43,Yes,5,[],146,never,1290
private,diesel,829,Sometimes,7,"['Paper', 'Glass', 'Metal']",69,never,1406
walk/bicycle,No Vehicle,60,No,5,['Glass'],272,never,2246
public,No Vehicle,504,Sometimes,5,"['Plastic', 'Glass', 'Metal']",270,frequently,2106
public,No Vehicle,944,Sometimes,3,['Paper'],201,frequently,2109
public,No Vehicle,562,No,7,"['Paper', 'Metal']",190,rarely,1706
walk/bicycle,No Vehicle,47,No,7,"['Plastic', 'Glass', 'Metal']",128,rarely,2255
private,electric,2193,Yes,5,['Metal'],278,very frequently,2750
public,No Vehicle,1170,Sometimes,7,"['Paper', 'Glass']",166,never,1732
walk/bicycle,No Vehicle,32,No,7,"['Glass', 'Metal']",236,rarely,1943
private,lpg,610,No,2,"['Plastic', 'Glass', 'Metal']",82,never,1121
private,hybrid,191,Yes,1,"['Paper', 'Glass', 'Metal']",95,frequently,1471
public,No Vehicle,135,No,5,['Glass'],216,rarely,2031
private,diesel,7355,Yes,7,['Paper'],129,frequently,3602
public,No Vehicle,560,Sometimes,2,['Plastic'],94,frequently,1676
private,hybrid,1929,Yes,4,"['Paper', 'Plastic']",107,frequently,2098
walk/bicycle,No Vehicle,44,No,5,"['Paper', 'Glass']",169,rarely,1948
private,diesel,9423,Yes,6,"['Paper', 'Metal']",205,rarely,4220
walk/bicycle,No Vehicle,60,Yes,5,"['Plastic', 'Glass', 'Metal']",123,frequently,1955
public,No Vehicle,537,Sometimes,3,['Glass'],279,frequently,2128
public,No Vehicle,483,No,1,"['Paper', 'Plastic', 'Glass', 'Metal']",272,very frequently,2699
public,No Vehicle,1802,No,1,"['Paper', 'Plastic', 'Glass']",258,very frequently,2546
private,petrol,6329,Sometimes,3,"['Paper', 'Glass', 'Metal']",141,never,3618
public,No Vehicle,1702,No,3,['Metal'],91,rarely,1576
private,lpg,5812,Yes,4,"['Paper', 'Plastic']",296,rarely,3715
walk/bicycle,No Vehicle,49,Sometimes,1,['Metal'],57,rarely,1457
public,No Vehicle,1050,Sometimes,7,['Plastic'],270,frequently,1657
private,diesel,8233,No,3,"['Paper', 'Plastic', 'Metal']",120,rarely,4294
public,No Vehicle,139,No,1,"['Plastic', 'Glass', 'Metal']",74,never,1138
private,petrol,304,No,7,"['Paper', 'Plastic', 'Glass', 'Metal']",219,very frequently,2157
private,petrol,3884,No,2,"['Glass', 'Metal']",255,rarely,3314
public,No Vehicle,716,Yes,3,"['Paper', 'Glass', 'Metal']",154,never,1663
private,hybrid,7309,No,4,"['Plastic', 'Glass']",141,very frequently,4150
private,electric,5970,Yes,1,"['Paper', 'Plastic', 'Glass', 'Metal']",68,rarely,1061
private,electric,7607,No,1,['Glass'],242,frequently,2072
walk/bicycle,No Vehicle,19,No,7,"['Plastic', 'Glass', 'Metal']",272,rarely,2856
walk/bicycle,No Vehicle,21,Yes,6,['Glass'],285,rarely,1699
private,petrol,741,No,6,"['Paper', 'Glass', 'Metal']",108,frequently,1671
public,No Vehicle,931,No,1,"['Paper', 'Glass', 'Metal']",262,never,825
private,lpg,9426,Sometimes,6,"['Plastic', 'Metal']",100,never,3330
walk/bicycle,No Vehicle,69,Yes,1,"['Plastic', 'Metal']",255,frequently,1276
private,hybrid,7099,Yes,7,"['Paper', 'Plastic', 'Metal']",212,frequently,4072
walk/bicycle,No Vehicle,74,Sometimes,1,"['Paper', 'Plastic', 'Glass']",172,frequently,1245
public,No Vehicle,940,Sometimes,5,"['Plastic', 'Glass']",228,frequently,2866
public,No Vehicle,236,No,3,"['Paper', 'Plastic']",256,very frequently,2136
private,petrol,1544,No,3,"['Paper', 'Glass']",213,frequently,1670
walk/bicycle,No Vehicle,69,Sometimes,3,['Metal'],59,rarely,783
walk/bicycle,No Vehicle,24,No,6,"['Paper', 'Plastic']",243,frequently,1668
public,No Vehicle,733,Yes,7,"['Paper', 'Metal']",202,rarely,1403
walk/bicycle,No Vehicle,86,Yes,3,"['Paper', 'Plastic']",74,never,1106
private,lpg,2850,No,3,"['Plastic', 'Glass', 'Metal']",272,never,1977
private,electric,9199,Yes,5,"['Paper', 'Metal']",157,very frequently,2375
public,No Vehicle,1056,Yes,4,"['Glass', 'Metal']",50,very frequently,2383
public,No Vehicle,948,Yes,5,"['Paper', 'Plastic', 'Metal']",272,frequently,2512
private,electric,3203,Sometimes,6,"['Paper', 'Plastic', 'Metal']",278,frequently,1744
walk/bicycle,No Vehicle,63,Sometimes,4,"['Paper', 'Plastic', 'Metal']",226,very frequently,2045
public,No Vehicle,1580,No,7,['Glass'],62,never,1868
private,petrol,6921,Yes,2,"['Plastic', 'Glass']",100,rarely,3250
walk/bicycle,No Vehicle,68,Sometimes,3,"['Paper', 'Glass', 'Metal']",252,very frequently,1749
public,No Vehicle,159,No,7,"['Plastic', 'Glass']",259,never,1635
private,petrol,4096,No,6,"['Paper', 'Plastic']",189,rarely,2921
public,No Vehicle,1295,No,3,"['Paper', 'Plastic', 'Glass', 'Metal']",54,never,477
public,No Vehicle,709,Yes,6,"['Plastic', 'Glass']",155,rarely,2384
private,electric,6329,No,5,"['Plastic', 'Glass', 'Metal']",100,frequently,2259
public,No Vehicle,1806,No,4,"['Plastic', 'Metal']",147,never,1782
walk/bicycle,No Vehicle,2,Sometimes,6,"['Plastic', 'Glass', 'Metal']",217,never,1788
walk/bicycle,No Vehicle,84,Yes,5,"['Paper', 'Glass', 'Metal']",263,frequently,2078
private,hybrid,1249,Yes,1,"['Paper', 'Plastic', 'Glass']",180,rarely,1629
walk/bicycle,No Vehicle,32,No,6,"['Paper', 'Plastic', 'Metal']",83,very frequently,2191
private,petrol,1420,Sometimes,3,"['Plastic', 'Glass', 'Metal']",111,rarely,2045
private,diesel,2330,Sometimes,4,"['Paper', 'Glass']",174,frequently,2927
walk/bicycle,No Vehicle,57,Sometimes,6,"['Plastic', 'Glass', 'Metal']",112,frequently,2010
walk/bicycle,No Vehicle,75,Sometimes,5,"['Plastic', 'Metal']",277,very frequently,2287
walk/bicycle,No Vehicle,51,No,1,['Metal'],77,never,1070
private,diesel,7973,Sometimes,1,['Metal'],61,never,2915
private,petrol,9303,Sometimes,2,"['Plastic', 'Glass']",225,frequently,6232
private,lpg,2360,No,4,['Glass'],203,frequently,2605
private,diesel,5402,Yes,5,"['Plastic', 'Glass', 'Metal']",268,frequently,3537
walk/bicycle,No Vehicle,38,No,3,['Glass'],66,very frequently,2894
private,hybrid,3694,No,2,"['Paper', 'Glass', 'Metal']",206,very frequently,3252
walk/bicycle,No Vehicle,11,Yes,2,['Paper'],259,very frequently,3729
private,electric,2184,Sometimes,4,"['Paper', 'Plastic']",261,very frequently,3148
walk/bicycle,No Vehicle,48,No,7,"['Plastic', 'Glass', 'Metal']",152,very frequently,3249
public,No Vehicle,465,Yes,7,"['Glass', 'Metal']",137,frequently,1868
private,diesel,4576,No,4,"['Paper', 'Plastic', 'Metal']",293,frequently,2325
private,hybrid,5868,No,7,"['Plastic', 'Metal']",232,frequently,2436
public,No Vehicle,864,Sometimes,2,"['Glass', 'Metal']",274,never,882
public,No Vehicle,382,Sometimes,1,"['Paper', 'Plastic', 'Glass']",65,rarely,858
private,hybrid,9375,Sometimes,4,['Paper'],172,never,3142
public,No Vehicle,364,Yes,7,"['Plastic', 'Metal']",165,very frequently,2898
public,No Vehicle,518,Sometimes,4,"['Paper', 'Plastic', 'Glass', 'Metal']",148,rarely,1610
walk/bicycle,No Vehicle,48,No,6,['Glass'],90,very frequently,2425
private,lpg,9928,Sometimes,6,"['Glass', 'Metal']",296,rarely,4934
walk/bicycle,No Vehicle,13,Sometimes,1,"['Paper', 'Plastic', 'Glass']",214,rarely,1773
private,lpg,3570,Yes,5,"['Paper', 'Glass']",135,frequently,3235
private,hybrid,1748,No,3,"['Plastic', 'Metal']",288,frequently,2451
private,petrol,9336,Yes,5,"['Plastic', 'Metal']",239,rarely,3491
private,hybrid,2710,Sometimes,6,['Glass'],187,very frequently,3767
private,diesel,8964,No,1,['Metal'],228,very frequently,4333
walk/bicycle,No Vehicle,42,Sometimes,6,['Plastic'],142,frequently,2095
private,hybrid,2221,No,7,"['Plastic', 'Glass']",255,rarely,2857
private,lpg,9213,Sometimes,2,[],292,rarely,4277
walk/bicycle,No Vehicle,31,Yes,4,"['Glass', 'Metal']",182,frequently,2517
public,No Vehicle,986,Sometimes,2,"['Paper', 'Plastic', 'Glass', 'Metal']",237,rarely,579
private,lpg,8806,Yes,7,['Glass'],178,rarely,4092
walk/bicycle,No Vehicle,18,No,4,['Paper'],75,never,1573
public,No Vehicle,955,No,2,"['Plastic', 'Glass']",84,very frequently,2761
public,No Vehicle,1377,Yes,1,"['Paper', 'Plastic']",107,never,1227
public,No Vehicle,1069,No,4,"['Paper', 'Plastic', 'Glass', 'Metal']",109,very frequently,2694
private,lpg,337,No,7,['Metal'],81,rarely,1591
walk/bicycle,No Vehicle,67,Sometimes,7,"['Paper', 'Plastic', 'Metal']",197,very frequently,2608
public,No Vehicle,1855,No,1,['Metal'],114,very frequently,2195
walk/bicycle,No Vehicle,29,No,4,"['Plastic', 'Metal']",244,frequently,2070
walk/bicycle,No Vehicle,57,Yes,4,"['Plastic', 'Glass']",119,rarely,2022
public,No Vehicle,1533,No,1,"['Plastic', 'Glass', 'Metal']",297,rarely,1417
walk/bicycle,No Vehicle,95,Yes,6,"['Paper', 'Metal']",289,very frequently,3227
private,hybrid,239,Yes,4,['Paper'],174,frequently,2435
walk/bicycle,No Vehicle,73,No,5,"['Paper', 'Plastic', 'Glass']",172,very frequently,2922
public,No Vehicle,639,Yes,5,"['Paper', 'Glass', 'Metal']",168,very frequently,3144
public,No Vehicle,853,Sometimes,1,"['Plastic', 'Glass']",206,never,1178
walk/bicycle,No Vehicle,35,Sometimes,1,"['Paper', 'Glass', 'Metal']",193,very frequently,2863
walk/bicycle,No Vehicle,20,Sometimes,5,"['Paper', 'Glass']",231,rarely,1557
private,petrol,7749,No,6,"['Paper', 'Plastic', 'Glass', 'Metal']",55,frequently,3758
public,No Vehicle,1558,Sometimes,7,"['Paper', 'Plastic', 'Metal']",291,never,1381
walk/bicycle,No Vehicle,70,No,4,"['Plastic', 'Glass', 'Metal']",111,very frequently,1979
private,hybrid,5847,No,6,"['Paper', 'Plastic', 'Glass']",171,very frequently,2385
walk/bicycle,No Vehicle,4,No,4,[],133,frequently,2165
walk/bicycle,No Vehicle,63,Sometimes,2,['Plastic'],295,rarely,1776
public,No Vehicle,1910,Sometimes,4,"['Plastic', 'Metal']",130,frequently,2461
walk/bicycle,No Vehicle,39,Yes,1,['Paper'],108,never,964
public,No Vehicle,1603,No,3,"['Plastic', 'Glass']",170,frequently,2665
private,electric,9277,Sometimes,2,"['Paper', 'Plastic']",145,very frequently,2352
public,No Vehicle,743,No,2,"['Plastic', 'Glass']",259,never,1050
public,No Vehicle,830,No,4,['Paper'],63,never,1339
public,No Vehicle,102,No,4,"['Paper', 'Plastic', 'Glass', 'Metal']",196,frequently,2517
public,No Vehicle,1339,Yes,7,"['Paper', 'Metal']",259,frequently,3501
private,hybrid,2016,No,2,['Metal'],53,frequently,1394
public,No Vehicle,1350,Sometimes,7,['Glass'],86,frequently,1882
private,electric,6492,Yes,7,"['Glass', 'Metal']",86,rarely,1946
private,hybrid,729,Yes,4,"['Plastic', 'Glass']",156,never,1473
public,No Vehicle,1031,Sometimes,6,"['Paper', 'Glass']",144,frequently,2094
walk/bicycle,No Vehicle,75,Yes,6,[],278,very frequently,3162
private,electric,5607,No,5,"['Glass', 'Metal']",194,never,987
walk/bicycle,No Vehicle,51,Yes,6,['Plastic'],264,very frequently,2318
walk/bicycle,No Vehicle,35,No,4,"['Plastic', 'Glass']",237,rarely,1915
walk/bicycle,No Vehicle,25,No,4,"['Paper', 'Plastic']",138,never,1342
private,diesel,5304,Sometimes,6,"['Plastic', 'Metal']",168,very frequently,3402
public,No Vehicle,1438,Yes,7,"['Paper', 'Glass', 'Metal']",236,rarely,1583
walk/bicycle,No Vehicle,33,No,3,"['Paper', 'Metal']",51,never,863
public,No Vehicle,1327,No,6,"['Paper', 'Plastic', 'Glass', 'Metal']",84,very frequently,2078
private,electric,2746,No,1,['Paper'],182,never,1129
public,No Vehicle,1646,Sometimes,4,[],281,rarely,1863
walk/bicycle,No Vehicle,47,Yes,5,"['Paper', 'Plastic']",153,never,1510
public,No Vehicle,1066,No,1,"['Plastic', 'Glass', 'Metal']",264,never,1572
walk/bicycle,No Vehicle,24,Sometimes,5,['Plastic'],197,very frequently,3040
walk/bicycle,No Vehicle,54,No,2,"['Paper', 'Glass']",162,never,1716
public,No Vehicle,35,Yes,3,['Metal'],148,never,691
walk/bicycle,No Vehicle,2,No,7,"['Paper', 'Metal']",156,frequently,1867
private,electric,8342,Sometimes,5,['Glass'],185,never,2186
walk/bicycle,No Vehicle,76,No,2,"['Plastic', 'Glass']",64,rarely,1365
walk/bicycle,No Vehicle,66,Sometimes,6,"['Plastic', 'Glass']",98,frequently,2221
public,No Vehicle,1730,Sometimes,7,['Plastic'],201,frequently,2469
public,No Vehicle,1789,No,7,"['Paper', 'Plastic', 'Glass']",292,rarely,2196
public,No Vehicle,521,Sometimes,3,['Paper'],260,never,1482
public,No Vehicle,722,No,7,"['Paper', 'Plastic', 'Metal']",192,rarely,1701
private,hybrid,8866,Yes,5,"['Paper', 'Plastic', 'Glass']",106,never,2383
public,No Vehicle,1569,Sometimes,4,"['Glass', 'Metal']",261,rarely,1467
public,No Vehicle,1430,Yes,1,[],122,very frequently,2715
private,lpg,5320,Yes,3,['Paper'],99,rarely,2499
walk/bicycle,No Vehicle,24,Yes,2,"['Paper', 'Plastic']",143,rarely,1100
private,lpg,93,No,4,"['Paper', 'Plastic', 'Glass']",266,very frequently,2773
private,hybrid,2767,No,1,['Glass'],295,rarely,2158
walk/bicycle,No Vehicle,6,Yes,6,"['Paper', 'Plastic', 'Metal']",166,rarely,1681
public,No Vehicle,652,Sometimes,3,"['Paper', 'Plastic']",231,very frequently,2629
public,No Vehicle,973,Yes,3,['Metal'],68,very frequently,2421
private,lpg,7779,Sometimes,5,"['Plastic', 'Glass', 'Metal']",223,frequently,4145
